                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1168,                   1.69,                 1.4947,                0.50124,                0.54125,                0.54674,                0.31124,                 1.3721,                 1.9054,                 2.0014,             0.00066169,             0.00066169,             0.00066169
                      2,                  1.281,                 1.3233,                 1.6081,                0.58745,                0.59685,                0.55456,                0.25337,                 1.7757,                 2.0139,                 2.4807,              0.0013152,              0.0013152,              0.0013152
                      3,                 1.3586,                  1.373,                 1.6632,                0.59213,                0.63723,                0.57806,                0.29716,                 1.6426,                  2.034,                 2.2872,              0.0019555,              0.0019555,              0.0019555
                      4,                 1.4131,                 1.3281,                  1.694,                0.49011,                0.57426,                0.47261,                0.24698,                 1.5953,                  1.959,                 2.1844,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3022,                 1.2454,                 1.6265,                0.75989,                0.73927,                0.82518,                0.51797,                   1.24,                  1.202,                 1.8234,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2167,                  1.171,                 1.5541,                0.75652,                0.77933,                0.84791,                0.48929,                  1.348,                 1.1864,                 1.9357,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1589,                 1.0387,                 1.4908,                0.83828,                0.82178,                0.89143,                 0.6097,                 1.0933,                0.94442,                 1.6217,               0.001901,               0.001901,               0.001901
                      8,                 1.1718,                 1.0477,                 1.5071,                0.77045,                0.74917,                0.80952,                0.52754,                 1.1518,                 1.2053,                 1.7135,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1013,                 1.0056,                 1.4631,                0.85249,                0.85809,                 0.8916,                0.61273,                 1.0614,                0.92936,                 1.6086,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1044,                0.96706,                 1.4826,                0.88349,                0.88779,                0.93659,                0.62802,                 1.0708,                0.81402,                 1.6384,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.064,                0.90728,                 1.4375,                0.91821,                0.89109,                 0.9656,                0.68446,                  0.949,                0.73571,                 1.5104,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0727,                0.92213,                 1.4454,                0.83883,                0.87602,                0.92173,                0.62195,                 1.0929,                0.87121,                 1.6486,               0.001802,               0.001802,               0.001802
                     13,                   1.06,                0.88212,                 1.4486,                0.87329,                0.90984,                0.95459,                0.68502,                0.90055,                0.76241,                 1.4521,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0063,                  0.878,                 1.3983,                0.92188,                0.93467,                 0.9727,                0.69316,                 0.9405,                0.70787,                 1.4965,              0.0017624,              0.0017624,              0.0017624
                     15,                  0.987,                0.84817,                 1.3787,                0.88785,                0.92079,                0.95032,                0.68396,                0.93255,                0.67949,                 1.4768,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0045,                0.87372,                 1.3918,                  0.896,                0.93399,                0.95777,                0.69184,                0.94358,                0.69101,                 1.4814,              0.0017228,              0.0017228,              0.0017228
